drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag,likely_therapeutic_agent,non_therapeutic_reason
Abacavir (ABC),C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,0.9,3.9,,,,Schulz_2020_CritCare,441300,no,,True,
Abiraterone,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,0.02,0.2,,12,,Schulz_2020_CritCare,132971,no,,True,
Acamprosate,CC(=O)NCCCS(=O)(=O)O,0.25,0.7,1,13,20,Schulz_2020_CritCare,71158,no,,True,
Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,0.2,2,,3,11,Schulz_2020_CritCare,1978,no,,True,
Acecarbromal(um),CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,10,20,25,,,Schulz_2020_CritCare,6489,no,,True,
Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,0.03,0.1,0.1,3,11,Schulz_2020_CritCare,54676537,no,,True,
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,10,20,25,2,6,Schulz_2020_CritCare,1986,no,,True,
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,20,70,500,1.3,,Schulz_2020_CritCare,1989,no,,True,
Acetone,CC(=O)C,5,20,100,8,31,Schulz_2020_CritCare,180,no,,False,industrial_solvent
"Acetylsalicylic acid (aspirin, ASS, ASA)",CC(=O)OC1=CC=CC=C1C(=O)O,20,200,300,3,20,Schulz_2020_CritCare,2244,no,,True,
Acitretin,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,0.01,0.29,,48,96,Schulz_2020_CritCare,5284513,no,,True,
Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,0.4,1.5,,2,5,Schulz_2020_CritCare,135398513,no,,True,
Adipiodone(-meglumine),C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,850,1200,,0.5,,Schulz_2020_CritCare,3739,no,,False,diagnostic_contrast_agent
Agomelatine,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,0.007,0.3,0.6,1,2,Schulz_2020_CritCare,82148,no,,True,
Ajmaline,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,0.53,2.21,,1.3,1.6,Schulz_2020_CritCare,6100671,no,,True,
