drug_name_raw,query_name,cid,smiles,mw,logp,iupac,source
Alfuzosine,Alfuzosine,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,389.4,1.7,"N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide",pubchem_rest
Alimemazine (Trimeprazine),Alimemazine,5574,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C,298.4,4.7,"N,N,2-trimethyl-3-phenothiazin-10-ylpropan-1-amine",pubchem_rest
Aliskiren,Aliskiren,5493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,551.8,3.5,"(2S,4S,5S,7S)-5-amino-N-(3-amino-2,2-dimethyl-3-oxopropyl)-4-hydroxy-7-[[4-methoxy-3-(3-methoxypropoxy)phenyl]methyl]-8-methyl-2-propan-2-ylnonanamide",pubchem_rest
Alizapride,Alizapride,135413504,COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2,315.37,1.6,6-methoxy-N-[(1-prop-2-enylpyrrolidin-2-yl)methyl]-3H-benzotriazole-5-carboxamide,pubchem_rest
Allobarbital,Allobarbital,5842,C=CCC1(C(=O)NC(=O)NC1=O)CC=C,208.21,1,"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione",pubchem_rest
Allopurinol,Allopurinol,135401907,C1=NNC2=C1C(=O)NC=N2,136.11,-0.7,"1,5-dihydropyrazolo[5,4-d]pyrimidin-4-one",pubchem_rest
Almotriptan,Almotriptan,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,335.5,1.6,"N,N-dimethyl-2-[5-(pyrrolidin-1-ylsulfonylmethyl)-1H-indol-3-yl]ethanamine",pubchem_rest
Alogliptin,Alogliptin,11450633,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,339.4,0.6,"2-[[6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxopyrimidin-1-yl]methyl]benzonitrile",pubchem_rest
Alphaprodine,Alphaprodine,120738,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2,261.36,2.8,"[(3S,4R)-1,3-dimethyl-4-phenylpiperidin-4-yl] propanoate",pubchem_rest
Alprazolam,Alprazolam,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.8,2.1,"8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine",pubchem_rest
Alprenolol,Alprenolol,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.35,3.1,1-(propan-2-ylamino)-3-(2-prop-2-enylphenoxy)propan-2-ol,pubchem_rest
Aluminium,Aluminium,5359268,[Al],26.981538,,aluminum,pubchem_rest
Amantadine,Amantadine,2130,C1C2CC3CC1CC(C2)(C3)N,151.25,2.4,adamantan-1-amine,pubchem_rest
5F-AMB (5F-AMB-PINACA),5F-AMB,119025812,CC(C)C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,363.4,3.8,methyl (2S)-2-[[1-(5-fluoropentyl)indazole-3-carbonyl]amino]-3-methylbutanoate,pubchem_rest
