drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Flibanserin,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,0.4,0.4,,6,14,Schulz_2020_CritCare,6918248,no,
Flubromazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F,0.008,0.008,,10,20,Schulz_2020_CritCare,21930924,no,
Flucloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,3,30,,1,2,Schulz_2020_CritCare,21319,no,
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,2,6,20,22,34,Schulz_2020_CritCare,3365,no,
Flucytosine,C1=NC(=O)NC(=C1F)N,25,50,100,3,5,Schulz_2020_CritCare,3366,no,
Flumazenil,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,0.02,0.1,0.5,1,2,Schulz_2020_CritCare,3373,no,
Flunarizine,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,0.025,0.2,0.3,,,Schulz_2020_CritCare,941361,no,
Flunitrazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,0.005,0.015,0.05,10,20,Schulz_2020_CritCare,3380,no,
Fluoride,[F-],0.095,0.190,0.5,2,9,Schulz_2020_CritCare,28179,no,
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,0.05,0.3,0.4,0.5,,Schulz_2020_CritCare,3385,no,
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.12,0.5,1,48,144,Schulz_2020_CritCare,3386,no,
Flupentixol (Flupenthixol),C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,0.0005,0.005,0.015,20,40,Schulz_2020_CritCare,5281881,no,
Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,0.001,0.01,0.015,10,18,Schulz_2020_CritCare,3372,no,
Flupirtine,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,0.5,1.5,3,7,11,Schulz_2020_CritCare,53276,no,
Flurazepam,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,0.075,0.165,0.33,,,Schulz_2020_CritCare,3393,no,
Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,5,15,,3,4,Schulz_2020_CritCare,3394,no,
Fluspirilen,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,0.0001,0.0022,0.0044,7,14,Schulz_2020_CritCare,3396,no,
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,0.4,1.5,,7,20,Schulz_2020_CritCare,3397,no,
Fluvastatin,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,0.05,0.44,,1,3,Schulz_2020_CritCare,1548972,no,
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,0.06,0.23,0.5,15,22,Schulz_2020_CritCare,5324346,no,
Folic acid,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,0.004,0.03,,1.5,2,Schulz_2020_CritCare,135398658,no,
Fomepizole,CC1=CNN=C1,8,35,,10,40,Schulz_2020_CritCare,3406,no,
Formoterol,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,20,80,,5,13,Schulz_2020_CritCare,3410,no,
Fosamprenavir (FPV),CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N,0.4,0.4,,4,11,Schulz_2020_CritCare,131536,no,
Fosinopril,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3,0.13,0.25,,6,17,Schulz_2020_CritCare,9601226,no,
Frovatriptan,CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,0.004,0.008,,20,30,Schulz_2020_CritCare,77992,no,
Furosemide (Frusemide),C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,2,5,25,0.7,1.5,Schulz_2020_CritCare,3440,no,
Gabapentin,C1CCC(CC1)(CC(=O)O)CN,0.5,6,25,5,7,Schulz_2020_CritCare,3446,no,
Galantamine (Galanthamine),CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,0.03,0.06,0.09,6,10,Schulz_2020_CritCare,9651,no,
Gallopamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,0.02,0.1,,3,8,Schulz_2020_CritCare,1234,no,
Ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,0.5,5,3,2,4,Schulz_2020_CritCare,135398740,no,
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,3.9,5.3,,0.05,,Schulz_2020_CritCare,60750,no,
Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,-25,-25,,1.5,,Schulz_2020_CritCare,3463,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,4,10,12,1.5,6,Schulz_2020_CritCare,3467,no,
Glibenclamide (Glyburide),COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0.05,0.2,0.6,10,,Schulz_2020_CritCare,3488,no,
Gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,1,3.7,,6,14,Schulz_2020_CritCare,3475,no,
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,0.09,0.5,1,4,15,Schulz_2020_CritCare,3476,no,
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0.1,1,2,3,7,Schulz_2020_CritCare,3478,no,
Glutethimide,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,0.2,5,10,5,20,Schulz_2020_CritCare,3487,no,
Gold,[Au],3,8,10,504,744,Schulz_2020_CritCare,23985,no,
Granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,0.005,0.017,,3,21,Schulz_2020_CritCare,5284566,no,
Griseofulvin,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,0.3,1.7,,22,,Schulz_2020_CritCare,441140,no,
Guaifenesin,COC1=CC=CC=C1OCC(CO)O,0.3,1.4,,,,Schulz_2020_CritCare,3516,no,
Guanethidine,C1CCCN(CCC1)CCN=C(N)N,0.01,0.01,,5,10,Schulz_2020_CritCare,3518,no,
Guanfacine,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,0.001,0.01,,13.5,,Schulz_2020_CritCare,3519,no,
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,0.005,0.017,0.006,10,35,Schulz_2020_CritCare,3559,no,
Halothan,C(C(F)(F)F)(Cl)Br,22,260,,43,,Schulz_2020_CritCare,3562,no,
Hematin,CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[OH-].[Fe+3],50,100,,,,Schulz_2020_CritCare,76964397,no,
Heptabarb (Heptabarbital),CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,0.5,4,8,6,11,Schulz_2020_CritCare,10518,no,
Heptaminol,CC(CCCC(C)(C)O)N,0.2,1,,2,3,Schulz_2020_CritCare,3590,no,
Hexachlorobenzene (HCB),C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,-0.0001,-0.0001,,,,Schulz_2020_CritCare,8370,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Hexachlorophene,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,0.003,0.65,,6,44,Schulz_2020_CritCare,3598,no,
n-Hexane,CCCCCC,9e-05,9e-05,,1.5,2,Schulz_2020_CritCare,8058,yes,unit_converted:ng_per_mL_to_mg_per_L
Hexapropymate,C#CCC1(CCCCC1)OC(=O)N,2,5,10,,,Schulz_2020_CritCare,9661,no,
Hexobarbital,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,1,5,10,4,6,Schulz_2020_CritCare,3608,no,
Homosalate,CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,0.004,0.023,,47,78,Schulz_2020_CritCare,8362,no,
Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,0.05,0.5,,2,6,Schulz_2020_CritCare,3637,no,
Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,0.04,0.45,4,9,12,Schulz_2020_CritCare,3639,no,
Hydrocodone,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,0.01,0.04,0.1,,,Schulz_2020_CritCare,5284569,no,
Hydromorphone,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,0.005,0.015,0.1,2,3,Schulz_2020_CritCare,5284570,no,
Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,0.1,0.5,0.5,,,Schulz_2020_CritCare,3652,no,
Hydroxytryptophan (5-HTP),C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,0.5,1.5,,2,7,Schulz_2020_CritCare,439280,no,
Hydroxyzine,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.05,0.1,0.1,7,20,Schulz_2020_CritCare,3658,no,
Hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,0.0004,0.006,,7.5,,Schulz_2020_CritCare,154417,no,
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,15,30,200,0.9,2.5,Schulz_2020_CritCare,3672,no,
Idebenone,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,0.05,0.2,,16,22,Schulz_2020_CritCare,3686,no,
Iloperidone,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,0.005,0.01,0.02,18,33,Schulz_2020_CritCare,71360,no,
Iloprost,CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O,0.0001,0.0001,,,,Schulz_2020_CritCare,5311181,no,
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.72,0.72,,,,Schulz_2020_CritCare,5291,no,
Imipenem,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,0.5,5,,1,1.5,Schulz_2020_CritCare,104838,no,
Imipramine plus Desipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.05,0.35,0.5,11,25,Schulz_2020_CritCare,3696,no,
Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,0.13,0.25,,14,15,Schulz_2020_CritCare,3702,no,
Indinavir (IDV),CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,0.1,0.1,0.5,1.5,2,Schulz_2020_CritCare,5362440,no,
Indometacin (Indomethacin),CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0.3,1,4,5,10,Schulz_2020_CritCare,3715,no,
Indoramin,C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43,0.025,0.1,,12,,Schulz_2020_CritCare,33625,no,
Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,-5,-5,,,,Schulz_2020_CritCare,3748,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1.9,3.3,,11,15,Schulz_2020_CritCare,3749,no,
Iridium,[Ir],-0.02,-0.02,,,,Schulz_2020_CritCare,23924,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Iron,[Fe],0.5,2,6,3,8,Schulz_2020_CritCare,23925,no,
Isavuconazole,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,2.5,2.5,,50,110,Schulz_2020_CritCare,6918485,no,
Isoflurane,C(C(F)(F)F)(OC(F)F)Cl,20,150,,7,,Schulz_2020_CritCare,3763,no,
Isoniazid (INH),C1=CN=CC=C1C(=O)NN,5,10,20,1,3,Schulz_2020_CritCare,3767,no,
Isosorbide-dinitrate (ISDN),C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-],0.02,0.2,,0.4,0.8,Schulz_2020_CritCare,6883,no,
Isosorbide-5-mononitrate (IS-5-MN),C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O,0.1,1,3.1,2,5,Schulz_2020_CritCare,27661,no,
Isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,0.001,0.002,,10,20,Schulz_2020_CritCare,5282379,no,
Isoxicam,CC1=CC(=NO1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,5,15,,20,50,Schulz_2020_CritCare,54677972,no,
Isradipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,0.0005,0.002,0.01,5,10,Schulz_2020_CritCare,3784,no,
Itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,0.4,2,,24,36,Schulz_2020_CritCare,55283,no,
Ivabradine,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,0.01,0.06,0.11,1.3,2.8,Schulz_2020_CritCare,132999,no,
Kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,1,4,25,2,3,Schulz_2020_CritCare,6032,no,
Kavain,COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2,0.05,0.05,0.18,2.8,6.7,Schulz_2020_CritCare,5281565,no,
Ketamine,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,1,6,0.02,1,3,Schulz_2020_CritCare,3821,no,
Ketanserin,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,0.05,0.5,,10,22,Schulz_2020_CritCare,3822,no,
Ketazolam,CC1=CC(=O)N2CC(=O)N(C3=C(C2(O1)C4=CC=CC=C4)C=C(C=C3)Cl)C,0.001,0.02,,1,3,Schulz_2020_CritCare,33746,no,
Ketobemidone,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,0.01,0.05,,1.8,4.2,Schulz_2020_CritCare,10101,no,
Ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,1,3,,6,10,Schulz_2020_CritCare,47576,no,
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,1,6,12,1,,Schulz_2020_CritCare,3825,no,
Ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,0.5,3,5,4,10,Schulz_2020_CritCare,3826,no,
Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,0.0004,0.004,0.02,7,21,Schulz_2020_CritCare,3827,no,
Labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,0.03,0.2,1,3,10,Schulz_2020_CritCare,3869,no,
Lacidipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2C=CC(=O)OC(C)(C)C)C(=O)OCC)C)C,0.001,0.006,,12,19,Schulz_2020_CritCare,5311217,no,
Lacosamide,CC(=O)NC(COC)C(=O)NCC1=CC=CC=C1,1,10,20,10,15,Schulz_2020_CritCare,219078,no,
Lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,1,15,20,23,37,Schulz_2020_CritCare,3878,no,
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,0.06,0.4,,1,2,Schulz_2020_CritCare,3883,no,
Lead,[Pb],-0.09,-0.09,0.4,,,Schulz_2020_CritCare,5352425,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,6,100,,4,28,Schulz_2020_CritCare,3899,no,
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.06,1,2613,3,4,Schulz_2020_CritCare,216326,no,
Levacetylmethadol (= Acetylmethadol),CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,0.02,0.06,,32,116,Schulz_2020_CritCare,15130,no,
Levamisole,C1CSC2=NC(CN21)C3=CC=CC=C3,0.1,0.7,,2,8,Schulz_2020_CritCare,26879,no,
Levetiracetam,CCC(C(=O)N)N1CCCC1=O,10,40,50,4,10,Schulz_2020_CritCare,5284583,no,
Levocabastine,CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,0.001,0.01,,30,40,Schulz_2020_CritCare,54385,no,
Levocetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0.3,0.5,,6,10,Schulz_2020_CritCare,1549000,no,
Levodopa (L-Dopa),C1=CC(=C(C=C1CC(C(=O)O)N)O)O,0.3,2,5,1,3,Schulz_2020_CritCare,6047,no,
Levomepromazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,0.005,0.025,0.32,16,78,Schulz_2020_CritCare,72287,no,
Levomethadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.04,0.4,0.4,24,48,Schulz_2020_CritCare,22267,no,
Levomilnacipran,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,0.08,0.12,0.2,6,9,Schulz_2020_CritCare,6917779,no,
Levorphanol,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,0.007,0.02,0.1,11,30,Schulz_2020_CritCare,5359272,no,
Levothyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,0.045,0.14,,144,192,Schulz_2020_CritCare,5819,no,
Lidocaine (Lignocaine),CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0.5,5,6,1,4,Schulz_2020_CritCare,3676,no,
Linagliptin,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,0.002,0.004,,50,90,Schulz_2020_CritCare,10096344,no,
Linezolid,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,0.5,4,7.5,4,6,Schulz_2020_CritCare,441401,no,
Lisinopril,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,0.02,0.07,0.5,4,12,Schulz_2020_CritCare,5362119,no,
Lithium,[Li],4,8,8,8,50,Schulz_2020_CritCare,3028194,no,
Lofepramine,CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl,0.003,0.01,,0.5,5,Schulz_2020_CritCare,3947,no,
Loperamide,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,0.00024,0.0031,0.12,7,15,Schulz_2020_CritCare,3955,no,
Lopinavir (LPV),CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,1.0,1.0,,5,6,Schulz_2020_CritCare,92727,no,
Loprazolam,CN1CCN(CC1)C=C2C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)[N+](=O)[O-])C5=CC=CC=C5Cl,0.003,0.01,,11,20,Schulz_2020_CritCare,3033860,no,
Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,0.001,0.02,,2,15,Schulz_2020_CritCare,3957,no,
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,0.03,0.25,0.3,10,16,Schulz_2020_CritCare,3958,no,
Lorcainide,CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,0.1,0.4,,5,10,Schulz_2020_CritCare,42884,no,
Lormetazepam,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,0.002,0.01,0.1,8,15,Schulz_2020_CritCare,13314,no,
Lornoxicam,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,0.1,0.8,,2,6,Schulz_2020_CritCare,54690031,no,
Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,0.2,0.2,1.8,1.5,2,Schulz_2020_CritCare,3961,no,
Lovastatin,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,0.003,0.018,,2,3,Schulz_2020_CritCare,53232,no,
Loxapine,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,0.005,0.03,0.02,6,8,Schulz_2020_CritCare,3964,no,
Lurasidone,C1CCC(C(C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)C6C7CCC(C7)C6C5=O,0.015,0.04,0.12,20,40,Schulz_2020_CritCare,213046,no,
"Lysergide (lysergic acid diethyl amide, LSD)",CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.0005,0.005,0.001,,,Schulz_2020_CritCare,5761,no,
Macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,0.2,0.4,,10,18,Schulz_2020_CritCare,16004692,no,
Magnesium,[Mg],55,75,120,2.1,2.9,Schulz_2020_CritCare,5462224,no,
Manganese,[Mn],0.0005,0.0015,,12,36,Schulz_2020_CritCare,23930,no,
Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,0.075,0.13,0.22,20,60,Schulz_2020_CritCare,4011,no,
Maraviroc (MVC),CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,0.05,0.05,,,,Schulz_2020_CritCare,3002977,no,
Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,0.1,0.1,,3,9,Schulz_2020_CritCare,4030,no,
Meclizine (Meclozine),CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,0.001,0.045,,,,Schulz_2020_CritCare,4034,no,
Meclofenamic acid (Meclofenamate),CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,2,7,,0.8,5.3,Schulz_2020_CritCare,4037,no,
Medazepam,CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.1,0.5,0.6,2,5,Schulz_2020_CritCare,4041,no,
Mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,2,10,25,2,4,Schulz_2020_CritCare,4044,no,
Mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,0.4,1,1.5,10,30,Schulz_2020_CritCare,4046,no,
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,0.0005,0.1,,0.5,1,Schulz_2020_CritCare,896,no,
Melitracen,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C,0.01,0.1,,12,24,Schulz_2020_CritCare,25382,no,
Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,0.4,2,4,17,22,Schulz_2020_CritCare,54677470,no,
Melperone,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,0.03,0.1,0.2,4,8,Schulz_2020_CritCare,15387,no,
Melphalan,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,-1.5,-1.5,,1.5,2,Schulz_2020_CritCare,460612,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,0.09,0.15,0.3,60,100,Schulz_2020_CritCare,4054,no,
Mephenesin,CC1=CC=CC=C1OCC(CO)O,3,10,,1,4,Schulz_2020_CritCare,4059,no,
Mepindolol,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)C)O,0.007,0.07,,3,6,Schulz_2020_CritCare,71698,no,
Mepivacaine,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C,0.4,4,5,1,3,Schulz_2020_CritCare,4062,no,
Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,5,10,10,6,17,Schulz_2020_CritCare,4064,no,
Meptazinol,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O,0.025,0.25,,1,4,Schulz_2020_CritCare,41049,no,
Mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2,0.03,0.1,1,0.5,1.5,Schulz_2020_CritCare,667490,no,
Mercury,[Hg],0.0015,0.002,0.05,432,576,Schulz_2020_CritCare,23931,no,
Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,2,8,25,1,,Schulz_2020_CritCare,441130,no,
Mescaline,COC1=CC(=CC(=C1OC)OC)CCN,1.5,3.8,,6,,Schulz_2020_CritCare,4076,no,
Mesalazine (Mesalamine),C1=CC(=C(C=C1N)C(=O)O)O,-1,-1,,0.5,2.4,Schulz_2020_CritCare,4075,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
