drug_name,smiles,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_min_mg_L,half_life_h,half_life_h_max,source,pubchem_cid,unit_converted,data_quality_flag
Diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,40,100,300,5,12,Schulz_2020_CritCare,3059,no,
Digitoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,0.008,0.018,0.03,140,200,Schulz_2020_CritCare,441207,no,
Digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,0.0005,0.0009,0.002,40,70,Schulz_2020_CritCare,2724385,no,
Dihydrocodeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,0.03,0.25,0.5,3,4,Schulz_2020_CritCare,5284543,no,
Dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,0.001,0.01,,4,15,Schulz_2020_CritCare,10531,no,
Diltiazem,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,0.03,0.13,0.8,2,6,Schulz_2020_CritCare,39186,no,
Dimethadione,CC1(C(=O)NC(=O)O1)C,700,1000,1000,5,10,Schulz_2020_CritCare,3081,no,
Dimethindene,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,0.01,0.05,,,,Schulz_2020_CritCare,21855,no,
"N,N-Dimethyltryptamine",CN(C)CCC1=CNC2=CC=CC=C21,0.001,0.1,,0.5,1.5,Schulz_2020_CritCare,6089,no,
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0.05,0.1,1,3,14,Schulz_2020_CritCare,3100,no,
Diphenoxylate,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,0.01,0.08,,2,3,Schulz_2020_CritCare,13505,no,
Dipipanone,CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.05,-0.05,0.43,3.2,3.8,Schulz_2020_CritCare,13331,no,upper_bound_only:therapeutic_min_is_schulz_ceiling
Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,0.1,1.5,4,11,13,Schulz_2020_CritCare,3108,no,
Disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,2,7,8,5,8,Schulz_2020_CritCare,3114,no,
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.05,0.4,0.5,5,9,Schulz_2020_CritCare,3117,no,
Dixyrazine,CC(CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,0.3,0.3,,,,Schulz_2020_CritCare,17182,no,
