drug_name_raw,query_name,status,cid,smiles,mw,logp,iupac
Clemastine,Clemastine,match,26987,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,343.9,5,(2R)-2-[2-[(1R)-1-(4-chlorophenyl)-1-phenylethoxy]ethyl]-1-methylpyrrolidine
Clenbuterol,Clenbuterol,match,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.19,2.2,"1-(4-amino-3,5-dichlorophenyl)-2-(tert-butylamino)ethanol"
Clindamycin,Clindamycin,match,446598,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,425.0,2.2,"(2S,4R)-N-[(1S,2S)-2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide"
Clobazam,Clobazam,match,2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.74,2.1,"7-chloro-1-methyl-5-phenyl-1,5-benzodiazepine-2,4-dione"
Clobutinol,Clobutinol,match,26937,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,255.78,3.2,"1-(4-chlorophenyl)-4-(dimethylamino)-2,3-dimethylbutan-2-ol"
Clodronate (Clodronic acid),Clodronate,match,25419,C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,244.89,-2.1,[dichloro(phosphono)methyl]phosphonic acid
Clofibrate,Clofibrate,match,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.70,3.3,ethyl 2-(4-chlorophenoxy)-2-methylpropanoate
Clomethiazole (Chlormethiazole),Clomethiazole,match,10783,CC1=C(SC=N1)CCCl,161.65,2.1,"5-(2-chloroethyl)-4-methyl-1,3-thiazole"
Clomipramine Clomipramin + N-Desmethylclomipramin,Clomipramine,match,2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.9,5.2,"3-(2-chloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine"
Clonazepam,Clonazepam,match,2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,315.71,2.4,"5-(2-chlorophenyl)-7-nitro-1,3-dihydro-1,4-benzodiazepin-2-one"
Clonazolam,Clonazolam,match,12317881,CC1=NN=C2N1C3=C(C=C(C=C3)[N+](=O)[O-])C(=NC2)C4=CC=CC=C4Cl,353.8,1.6,"6-(2-chlorophenyl)-1-methyl-8-nitro-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine"
Clonidine,Clonidine,match,2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,230.09,1.6,"N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine"
Clopamide,Clopamide,match,12492,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,345.8,2.3,"4-chloro-N-[(2S,6R)-2,6-dimethylpiperidin-1-yl]-3-sulfamoylbenzamide"
Clopenthixol (Clopentixol),Clopenthixol,match,12454,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,401.0,4.3,2-[4-[3-(2-chlorothioxanthen-9-ylidene)propyl]piperazin-1-yl]ethanol
Clopidogrel,Clopidogrel,match,60606,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,321.8,3.8,"methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl)acetate"
Clotiazepam,Clotiazepam,match,2811,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,318.8,3.5,"5-(2-chlorophenyl)-7-ethyl-1-methyl-3H-thieno[2,3-e][1,4]diazepin-2-one"
Cloxacillin,Cloxacillin,match,6098,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,435.9,2.4,"(2S,5R,6R)-6-[[3-(2-chlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
Clozapine,Clozapine,match,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,326.8,3.1,"3-chloro-6-(4-methylpiperazin-1-yl)-11H-benzo[b][1,4]benzodiazepine"
"25C-NBOMe (2-(4-chloro-2,5- dimethoxyphenyl)-N-[(2- methoxyphenyl)methyl]ethanamine)",25C-NBOMe,match,46856354,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,335.8,3.8,"2-(4-chloro-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
Cobalt,Cobalt,match,104730,[Co],58.93319,,cobalt
Cocaine,Cocaine,match,446220,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,303.35,2.3,"methyl (1R,2R,3S,5S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate"
Codeine,Codeine,match,5284371,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,299.4,1.1,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"
Colchicine,Colchicine,match,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.4,1,"N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide"
Colistin,Colistin,match,5311054,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,1155.4,-3.3,"N-[(2S)-4-amino-1-[[(2S,3R)-1-[[(2S)-4-amino-1-oxo-1-[[(3S,6S,9S,12S,15R,18S,21S)-6,9,18-tris(2-aminoethyl)-3-[(1R)-1-hydroxyethyl]-12,15-bis(2-methylpropyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclotricos-21-yl]amino]butan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxobutan-2-yl]-5-methylheptanamide"
Copper,Copper,match,23978,[Cu],63.55,,copper
Coumatetralyl,Coumatetralyl,match,54678504,C1CC(C2=CC=CC=C2C1)C3=C(C4=CC=CC=C4OC3=O)O,292.3,4.1,"4-hydroxy-3-(1,2,3,4-tetrahydronaphthalen-1-yl)chromen-2-one"
Cromolyn (Cromoglycate),Cromolyn,match,2882,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,468.4,1.9,5-[3-(2-carboxy-4-oxochromen-5-yl)oxy-2-hydroxypropoxy]-4-oxochromene-2-carboxylic acid
5F-Cumyl-PEGACLONE,5F-Cumyl-PEGACLONE,match,134818048,CC(C)(C1=CC=CC=C1)N2C=CC3=C(C2=O)C4=CC=CC=C4N3CCCCCF,390.5,5.1,"5-(5-fluoropentyl)-2-(2-phenylpropan-2-yl)pyrido[4,3-b]indol-1-one"
Cyanide,Cyanide,match,5975,[C-]#N,26.017,0.1,cyanide
Cyclizine,Cyclizine,match,6726,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,266.4,3.6,1-benzhydryl-4-methylpiperazine
Cyclobarbital,Cyclobarbital,match,5838,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,236.27,1.8,"5-(cyclohexen-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione"
Cyclobenzaprine,Cyclobenzaprine,match,2895,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,275.4,5.2,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine"
Cyclohexane,Cyclohexane,match,8078,C1CCCCC1,84.16,3.4,cyclohexane
Cyclophosphamide,Cyclophosphamide,match,2907,C1CNP(=O)(OC1)N(CCCl)CCCl,261.08,0.6,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine"
Cyclopropane,Cyclopropane,match,6351,C1CC1,42.08,1.6,cyclopropane
Cyclopropylfentanyl,Cyclopropylfentanyl,match,137332271,C1CC1C(=O)N(C2CCN(CC2)CCC3=CC=CC=C3)C4=CC=CC=C4,348.5,4,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]cyclopropanecarboxamide
Cyproheptadine,Cyproheptadine,match,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,287.4,4.7,"1-methyl-4-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)piperidine"
Cyproterone acetate,Cyproterone acetate,match,9880,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,416.9,3.6,"[(1S,2S,3S,5R,11R,12S,15R,16S)-15-acetyl-9-chloro-2,16-dimethyl-6-oxo-15-pentacyclo[9.7.0.02,8.03,5.012,16]octadeca-7,9-dienyl] acetate"
Cysteamine,Cysteamine,match,6058,C(CS)N,77.15,-0.4,2-aminoethanethiol
Cytarabine,Cytarabine,match,6253,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,243.22,-2.1,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one"
Dabigatran,Dabigatran,match,216210,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,471.5,1.7,3-[[2-[(4-carbamimidoylanilino)methyl]-1-methylbenzimidazole-5-carbonyl]-pyridin-2-ylamino]propanoic acid
Dalfampridine,Dalfampridine,match,1727,C1=CN=CC=C1N,94.11,0.3,pyridin-4-amine
Danazol,Danazol,match,28417,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,337.5,3.8,"(1S,2R,13R,14S,17R,18S)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9-trien-17-ol"
Dantrolene,Dantrolene,match,6914273,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],314.25,1.7,"1-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione"
Dapagliflozin,Dapagliflozin,match,9887712,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,408.9,2.3,"(2S,3R,4R,5S,6R)-2-[4-chloro-3-[(4-ethoxyphenyl)methyl]phenyl]-6-(hydroxymethyl)oxane-3,4,5-triol"
Dapsone,Dapsone,match,2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.30,1,4-(4-aminophenyl)sulfonylaniline
Daptomycin,Daptomycin,match,21585658,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,1620.7,-5.1,"(3S)-3-[[(2R)-4-amino-2-[[(2S)-2-(decanoylamino)-3-(1H-indol-3-yl)propanoyl]amino]-4-oxobutanoyl]amino]-4-[[(3S,6S,9R,15S,18R,21S,24S,30S,31R)-3-[2-(2-aminophenyl)-2-oxoethyl]-24-(3-aminopropyl)-15,21-bis(carboxymethyl)-6-[(2R)-1-carboxypropan-2-yl]-9-(hydroxymethyl)-18,31-dimethyl-2,5,8,11,14,17,20,23,26,29-decaoxo-1-oxa-4,7,10,13,16,19,22,25,28-nonazacyclohentriacont-30-yl]amino]-4-oxobutanoic acid"
Darifenacin,Darifenacin,match,444031,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,426.5,4.6,"2-[(3S)-1-[2-(2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide"
Darunavir (DRV),Darunavir (DRV),match,213039,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,547.7,2.9,"[(3aS,4R,6aR)-2,3,3a,4,5,6a-hexahydrofuro[2,3-b]furan-4-yl] N-[(2S,3R)-4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate"
Deferoxamine (Desferrioxamine),Deferoxamine,match,2973,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,560.7,-2.1,N-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentyl]-N'-(5-aminopentyl)-N'-hydroxybutanediamide
Delorazepam,Delorazepam,match,17925,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,305.2,3.1,"7-chloro-5-(2-chlorophenyl)-1,3-dihydro-1,4-benzodiazepin-2-one"
Demoxepam,Demoxepam,match,13756,C1C(=O)N=C2C=CC(=CC2=C(N1O)C3=CC=CC=C3)Cl,286.71,2.3,"7-chloro-4-hydroxy-5-phenyl-3H-1,4-benzodiazepin-2-one"
Desipramine,Desipramine,match,2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.4,4.9,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine"
Desloratadine,Desloratadine,match,124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,310.8,4.5,"13-chloro-2-piperidin-4-ylidene-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaene"
Detajmium,Detajmium,match,118984402,CCC1C2CC3C4C5(CC(C2C5O)[N+]3(C1O)CC(CN(CC)CC)O)C6=CC=CC=C6N4C,456.6,2,"(1R,9R,10S,13S,14R,15R,16S,17R,18R)-15-[3-(diethylamino)-2-hydroxypropyl]-13-ethyl-8-methyl-8-aza-15-azoniahexacyclo[14.2.1.01,9.02,7.010,15.012,17]nonadeca-2,4,6-triene-14,18-diol"
Dexamethasone,Dexamethasone,match,5743,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.5,1.9,"(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one"
Dexfenfluramine,Dexfenfluramine,match,66265,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,231.26,3.4,(2S)-N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine
Dexketoprofen,Dexketoprofen,match,667550,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,254.28,3.1,(2S)-2-(3-benzoylphenyl)propanoic acid
Dexmedetomidine,Dexmedetomidine,match,5311068,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,200.28,3.1,"5-[(1S)-1-(2,3-dimethylphenyl)ethyl]-1H-imidazole"
Dexmethylphenidate,Dexmethylphenidate,match,154101,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,233.31,0.2,methyl (2R)-2-phenyl-2-[(2R)-piperidin-2-yl]acetate
Dextromethorphan,Dextromethorphan,match,5360696,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,271.4,3.4,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene"
Dextromoramide,Dextromoramide,match,92943,CC(CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,392.5,3.8,"(3S)-3-methyl-4-morpholin-4-yl-2,2-diphenyl-1-pyrrolidin-1-ylbutan-1-one"
Dextropropoxyphene,Dextropropoxyphene,match,10100,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,339.5,4.2,"[(2S,3R)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl] propanoate"
Diazepam,Diazepam,match,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74,3,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one"
Diazinon,Diazinon,match,3017,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,304.35,3.8,diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane
Diazoxide,Diazoxide,match,3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,230.67,1.2,"7-chloro-3-methyl-4H-1lambda6,2,4-benzothiadiazine 1,1-dioxide"
Dibenzepine,Dibenzepine,match,9419,CN1C2=CC=CC=C2C(=O)N(C3=CC=CC=C31)CCN(C)C,295.4,2.7,"5-[2-(dimethylamino)ethyl]-11-methylbenzo[b][1,4]benzodiazepin-6-one"
Dichloromethane,Dichloromethane,match,6344,C(Cl)Cl,84.93,1.5,dichloromethane
"2,4-Dichlorophenoxyacetic acid (2,4-D)","2,4-Dichlorophenoxyacetic acid (2,4-D)",match,1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,221.03,2.8,"2-(2,4-dichlorophenoxy)acetic acid"
Dichlorprop,Dichlorprop,match,8427,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,235.06,3.4,"2-(2,4-dichlorophenoxy)propanoic acid"
"Dichlorvos (2,2-Dichlorvinyl-dimethyl- phosphate, DDVP)",Dichlorvos,match,3039,COP(=O)(OC)OC=C(Cl)Cl,220.97,1.4,"2,2-dichloroethenyl dimethyl phosphate"
Diclazepam,Diclazepam,match,76168,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3Cl,319.2,3.1,"7-chloro-5-(2-chlorophenyl)-1-methyl-3H-1,4-benzodiazepin-2-one"
Diclofenac,Diclofenac,match,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,296.1,4.4,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid"
Dicoumarol,Dicoumarol,match,54676038,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,336.3,2.6,4-hydroxy-3-[(4-hydroxy-2-oxochromen-3-yl)methyl]chromen-2-one
Dicyclomine (Dicycloverin),Dicyclomine,match,3042,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,309.5,5.5,2-(diethylamino)ethyl 1-cyclohexylcyclohexane-1-carboxylate
Didanosine (DDI),Didanosine,match,135398739,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,236.23,-1.2,"9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one"
Dieldrin,Dieldrin,match,969491,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,380.9,3.7,"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene"
Diethylcarbamazine,Diethylcarbamazine,match,3052,CCN(CC)C(=O)N1CCN(CC1)C,199.29,0.3,"N,N-diethyl-4-methylpiperazine-1-carboxamide"
"N,N-Diethyl-3-methylbenzamide (N,N- Diethyl-m-toluamide; DEET)","N,N-Diethyl-3-methylbenzamide",match,4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,191.27,2,"N,N-diethyl-3-methylbenzamide"
Diethylpentenamide (Valdetamide),Diethylpentenamide,match,129632608,CCC(C)(CC)C=CC(=O)N,155.24,2.4,4-ethyl-4-methylhex-2-enamide
Diethylpropion,Diethylpropion,match,7029,CCN(CC)C(C)C(=O)C1=CC=CC=C1,205.30,2.8,2-(diethylamino)-1-phenylpropan-1-one
Difenacoum,Difenacoum,match,54676884,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6,444.5,6.9,"4-hydroxy-3-[3-(4-phenylphenyl)-1,2,3,4-tetrahydronaphthalen-1-yl]chromen-2-one"
Diflunisal,Diflunisal,match,3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,250.20,4.4,"5-(2,4-difluorophenyl)-2-hydroxybenzoic acid"
Digitoxin,Digitoxin,match,441207,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,764.9,2.3,"3-[(3S,5R,8R,9S,10S,13R,14S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-14-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"
Digoxin,Digoxin,match,2724385,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.9,1.3,"3-[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"
Dihydrocodeine,Dihydrocodeine,match,5284543,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,301.4,2.2,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"
Dihydroergotamine,Dihydroergotamine,match,10531,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,583.7,2.4,"(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
Diltiazem,Diltiazem,match,39186,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,414.5,3.1,"[(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate"
Dimethadione,Dimethadione,match,3081,CC1(C(=O)NC(=O)O1)C,129.11,0.1,"5,5-dimethyl-1,3-oxazolidine-2,4-dione"
Dimethindene,Dimethindene,match,21855,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN(C)C,292.4,2.7,"N,N-dimethyl-2-[3-(1-pyridin-2-ylethyl)-1H-inden-2-yl]ethanamine"
Dimethoate,Dimethoate,match,3082,CNC(=O)CSP(=S)(OC)OC,229.3,0.8,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide
"2,5-Dimethoxy-4-bromoamphetamine (DOB)","2,5-Dimethoxy-4-bromoamphetamine",match,62065,CC(CC1=CC(=C(C=C1OC)Br)OC)N,274.15,2.6,"1-(4-bromo-2,5-dimethoxyphenyl)propan-2-amine"
"2,5-Dimethoxy-4-bromophenethylamine (2C-B)","2,5-Dimethoxy-4-bromophenethylamine",match,98527,COC1=CC(=C(C=C1CCN)OC)Br,260.13,2.1,"2-(4-bromo-2,5-dimethoxyphenyl)ethanamine"
"3,4-Dimethylmethcathinone (3,4-DMMC)","3,4-Dimethylmethcathinone",match,52988261,CC1=C(C=C(C=C1)C(=O)C(C)NC)C,191.27,2.3,"1-(3,4-dimethylphenyl)-2-(methylamino)propan-1-one"
"N,N-Dimethyltryptamine","N,N-Dimethyltryptamine",match,6089,CN(C)CCC1=CNC2=CC=CC=C21,188.27,2.5,"2-(1H-indol-3-yl)-N,N-dimethylethanamine"
Diphenhydramine,Diphenhydramine,match,3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,255.35,3.3,"2-benzhydryloxy-N,N-dimethylethanamine"
Diphenidine,Diphenidine,match,206666,C1CCN(CC1)C(CC2=CC=CC=C2)C3=CC=CC=C3,265.4,4.6,"1-(1,2-diphenylethyl)piperidine"
Diphenoxylate,Diphenoxylate,match,13505,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,452.6,5.7,"ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylpiperidine-4-carboxylate"
Dipipanone,Dipipanone,match,13331,CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,349.5,4.8,"4,4-diphenyl-6-piperidin-1-ylheptan-3-one"
Dipyridamole,Dipyridamole,match,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,504.6,0.7,"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol"
Diquat,Diquat,match,6795,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31,184.24,1.4,"7,10-diazoniatricyclo[8.4.0.02,7]tetradeca-1(14),2,4,6,10,12-hexaene"
Disopyramide,Disopyramide,match,3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,339.5,3.2,4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide
Disulfiram,Disulfiram,match,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5,3.9,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate"
Dixyrazine,Dixyrazine,match,17182,CC(CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,427.6,3.7,2-[2-[4-(2-methyl-3-phenothiazin-10-ylpropyl)piperazin-1-yl]ethoxy]ethanol
