drug_name_raw,query_name,status,cid,smiles,mw,logp,iupac
Acrylfentanyl,Acrylfentanyl,match,10314851,C=CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,334.5,4.2,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide
Acyclovir,Acyclovir,match,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.20,-1.9,2-amino-9-(2-hydroxyethoxymethyl)-1H-purin-6-one
Adipiodone(-meglumine),Adipiodone,match,3739,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,1139.8,5.5,"3-[[6-(3-carboxy-2,4,6-triiodoanilino)-6-oxohexanoyl]amino]-2,4,6-triiodobenzoic acid"
Agomelatine,Agomelatine,match,82148,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,243.30,2.7,N-[2-(7-methoxynaphthalen-1-yl)ethyl]acetamide
Ajmaline,Ajmaline,match,6100671,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,326.4,1.8,"(1R,9R,10S,12R,13S,14R,16S,17S,18R)-13-ethyl-8-methyl-8,15-diazahexacyclo[14.2.1.01,9.02,7.010,15.012,17]nonadeca-2,4,6-triene-14,18-diol"
Albendazole,Albendazole,match,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.33,2.9,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate
Alcuronium,Alcuronium,match,21158560,C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16,666.9,3.1,"(2E)-2-[(1S,9Z,11S,13S,14R,17S,25Z,27S,30R,33S,35S,36S,38E)-38-(2-hydroxyethylidene)-14,30-bis(prop-2-enyl)-8,24-diaza-14,30-diazoniaundecacyclo[25.5.2.211,14.11,26.110,17.02,7.013,17.018,23.030,33.08,35.024,36]octatriaconta-2,4,6,9,18,20,22,25-octaen-28-ylidene]ethanol"
Aldrin,Aldrin,match,12310947,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,364.9,4.5,"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene"
Alendronate (Alendronic acid),Alendronate,match,2088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,249.10,-6.5,(4-amino-1-hydroxy-1-phosphonobutyl)phosphonic acid
Alfentanil,Alfentanil,match,51263,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.5,2.2,N-[1-[2-(4-ethyl-5-oxotetrazol-1-yl)ethyl]-4-(methoxymethyl)piperidin-4-yl]-N-phenylpropanamide
Alfuzosine,Alfuzosine,match,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,389.4,1.7,"N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide"
Alimemazine (Trimeprazine),Alimemazine,match,5574,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C,298.4,4.7,"N,N,2-trimethyl-3-phenothiazin-10-ylpropan-1-amine"
Aliskiren,Aliskiren,match,5493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,551.8,3.5,"(2S,4S,5S,7S)-5-amino-N-(3-amino-2,2-dimethyl-3-oxopropyl)-4-hydroxy-7-[[4-methoxy-3-(3-methoxypropoxy)phenyl]methyl]-8-methyl-2-propan-2-ylnonanamide"
Alizapride,Alizapride,match,135413504,COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2,315.37,1.6,6-methoxy-N-[(1-prop-2-enylpyrrolidin-2-yl)methyl]-3H-benzotriazole-5-carboxamide
Allobarbital,Allobarbital,match,5842,C=CCC1(C(=O)NC(=O)NC1=O)CC=C,208.21,1,"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione"
Allopurinol,Allopurinol,match,135401907,C1=NNC2=C1C(=O)NC=N2,136.11,-0.7,"1,5-dihydropyrazolo[5,4-d]pyrimidin-4-one"
Almotriptan,Almotriptan,match,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,335.5,1.6,"N,N-dimethyl-2-[5-(pyrrolidin-1-ylsulfonylmethyl)-1H-indol-3-yl]ethanamine"
Alogliptin,Alogliptin,match,11450633,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,339.4,0.6,"2-[[6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxopyrimidin-1-yl]methyl]benzonitrile"
Alphaprodine,Alphaprodine,match,120738,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2,261.36,2.8,"[(3S,4R)-1,3-dimethyl-4-phenylpiperidin-4-yl] propanoate"
Alprazolam,Alprazolam,match,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.8,2.1,"8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine"
Alprenolol,Alprenolol,match,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.35,3.1,1-(propan-2-ylamino)-3-(2-prop-2-enylphenoxy)propan-2-ol
Aluminium,Aluminium,match,5359268,[Al],26.981538,,aluminum
Amantadine,Amantadine,match,2130,C1C2CC3CC1CC(C2)(C3)N,151.25,2.4,adamantan-1-amine
5F-AMB (5F-AMB-PINACA),5F-AMB,match,119025812,CC(C)C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,363.4,3.8,methyl (2S)-2-[[1-(5-fluoropentyl)indazole-3-carbonyl]amino]-3-methylbutanoate
Amikacin,Amikacin,match,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,585.6,-7.9,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide"
Amiloride,Amiloride,match,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,229.63,-0.7,"3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide"
Aminoglutethimide,Aminoglutethimide,match,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.28,1.2,"3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione"
Aminophenazone,Aminophenazone,match,6009,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,231.29,1,"4-(dimethylamino)-1,5-dimethyl-2-phenylpyrazol-3-one"
5-(2-Aminopropyl)benzofuran (5-APB),5-(2-Aminopropyl)benzofuran,match,9837232,CC(CC1=CC2=C(C=C1)OC=C2)N,175.23,2.1,1-(1-benzofuran-5-yl)propan-2-amine
"5-(2-Aminopropyl)indole (5-API, 5-IT)",5-(2-Aminopropyl)indole,match,55253543,CC(CC1=CC2=C(C=C1)NC=C2)N,174.24,2.1,1-(1H-indol-5-yl)propan-2-amine
4-Aminopyridine (Fampridine),4-Aminopyridine,match,1727,C1=CN=CC=C1N,94.11,0.3,pyridin-4-amine
Amiodarone,Amiodarone,match,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3,7.6,"(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone"
Amisulpride,Amisulpride,match,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.5,1.5,4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide
Amitriptyline Amitriptyline + Nortriptyline,Amitriptyline,match,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.4,5,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine"
Amlodipine,Amlodipine,match,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.9,3,"3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate"
Ammonia,Ammonia,match,222,N,17.031,-0.7,azane
Amobarbital,Amobarbital,match,2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,226.27,2.1,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione"
Amodiaquine,Amodiaquine,match,2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,355.9,2.6,4-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol
