drug_name_raw,therapeutic_raw,therapeutic_min_mg_L,therapeutic_max_mg_L,toxic_raw,toxic_min_mg_L,toxic_max_mg_L,comatose_raw,comatose_min_mg_L,thalf_raw,references,unit_flag,source,page
Temazepam,0.02-0.15 (-0.9),0.02,0.15,1,1,1,3.8 ; 8.2 ; 9,3.8,6-25,"[8], [58, 59], [689], [702]",,Schulz_2020_CritCare,74
Tenoxicam,1.5-4 (-10),1.5,4,,,,,,(50-) 70-90,"[8], [47], [690, 691], [1193]",,Schulz_2020_CritCare,74
Terazosin,0.02-0.08,0.02,0.08,0.16,0.16,0.16,,,8-12,"[8], [780]",,Schulz_2020_CritCare,74
Terbinafine,0.01-0.03,0.01,0.03,,,,,,20-36,"[3], [10], [47], [58]",,Schulz_2020_CritCare,74
Terbutaline,0.001-0.006 (-0.03),0.001,0.006,,,,0.04,0.04,16-20,"[8], [58], [1195]",,Schulz_2020_CritCare,74
Terfenadine,< 0.01,0.01,0.01,0.04-0.06,0.04,0.06,0.4,0.4,15-22,"[3], [47], [692]",,Schulz_2020_CritCare,74
Tetrachloroethylene,-,,,,,,4-5; 22 ; 44 ; 66,4,33-72,"[47], [58], [87]",,Schulz_2020_CritCare,74
Tetracycline,1-5 (5-10),1,5,30,30,30,,,6-10,"[3], [8], [11]",,Schulz_2020_CritCare,74
Tetrazepam,0.05-0.6 (-1),0.05,0.6,,,,,,(10-) 16-44,"[8], [47], [58, 59]",,Schulz_2020_CritCare,74
Thalidomide,0.5-1.5 (-8),0.5,1.5,,,,,,5-9,"[3], [8]",,Schulz_2020_CritCare,74
Thallium,-0.002 (-0.0006 ),-0.002,-0.002,(0.003-) 0.1- 0.5 ; 5.6,0.1,0.5,0.5-11,0.5,2-4 days,"[3], [11], [47], [100], [693, 694]",,Schulz_2020_CritCare,74
Theobromine,(4-) 10-15,10,15,20,20,20,,,6-10,"[11], [58]",,Schulz_2020_CritCare,74
Theophylline,(5-) 8-15 (-20),8,15,20,20,20,50,50,6-9,"[415], [695-701], [703-705]",,Schulz_2020_CritCare,74
Thiamphenicol,0.5-3-10 (-15),0.5,3,20,20,20,,,2-7,[8],,Schulz_2020_CritCare,75
Thiamylal,appr. 5,5,5,,,,29,29,0.6-0.8 (initial); 12-34 (terminal),"[47], [87]",,Schulz_2020_CritCare,75
Thiazinamium,0.05-0.15,0.05,0.15,0.3,0.3,0.3,,,,"[8], [11], [467], [1196]",,Schulz_2020_CritCare,75
"Thiocyanate, from Nitroprusside",5-30,5,30,35-100,35,100,200,200,3-4days,"[8], [11], [255], [706], [1197, 1198]",,Schulz_2020_CritCare,75
Thiopental,1-5,1,5,7,7,7,10-15,10,3-8,"[8], [48], [707], [1199]",,Schulz_2020_CritCare,75
Thioproperazine,appr. 0.001-0.02,0.001,0.02,0.1,0.1,0.1,,,,"[8, 9]",,Schulz_2020_CritCare,75
Thioridazine,0.1-0.2 (-2),0.1,0.2,0.4,0.4,0.4,2.4 ; 3-10,2.4,7-13 (-36),"[4], [8], [56]",,Schulz_2020_CritCare,75
Tiagabine,0.02-0.2,0.02,0.2,0.3 ; 0.5-0.6; 3.1,0.3,0.3,,,7-9,"[3, 4], [8], [12], [381], [708-712]",,Schulz_2020_CritCare,75
Tianeptine,0.03-0.08,0.03,0.08,0.16,0.16,0.16,5.1,5.1,2.5-3,"[4], [1200]",,Schulz_2020_CritCare,75
Tiapride,1-2,1,2,4,4,4,,,2-6,"[8, 9], [47]",,Schulz_2020_CritCare,75
Tiaprofenic acid,appr. 15-40,15,40,,,,,,1.5-3 (-6),"[3], [713, 714]",,Schulz_2020_CritCare,75
Ticlopidine,< 1-2,1,2,,,,,,70-130,"[47], [58]",,Schulz_2020_CritCare,75
Tiletamine,,,,,,,0.85,0.85,1-4 (in animals),"[47], [87]",,Schulz_2020_CritCare,75
Tilidine,0.05-0.3,0.05,0.3,-,,,1.7,1.7,1-7,"[9], [47], [715, 716]",,Schulz_2020_CritCare,76
Tiludronate (Tiludronic acid),0.2-1.5 (-8),0.2,1.5,,,,,,65-78 (-150),"[49], [58], [717]",,Schulz_2020_CritCare,76
Timolol,0.005-0.05 (-0.1),0.005,0.05,,,,,,2-6,[8],,Schulz_2020_CritCare,76
Tin,0.03-0.14,0.03,0.14,,,,,,,[58],,Schulz_2020_CritCare,76
Tinidazol,10-50 (-60),10,50,,,,,,11-15 (-20),"[3], [47], [58]",,Schulz_2020_CritCare,76
Tiopronin,2-5,2,5,,,,,,12-37,"[58], [718], [1201]",,Schulz_2020_CritCare,76
Tiotixene (Thiothixene),0.001-0.02 (0.01-0.1),0.001,0.02,0.1,0.1,0.1,,,12-36,"[47, 48], [58], [185]",,Schulz_2020_CritCare,76
Tiotropium,16 ng/L,16,16,,,,,,5-6days,[719],,Schulz_2020_CritCare,76
Tipranavir (TPV),> 20.5,20.5,20.5,,,,,,5.5-6,"[2], [110, 111]",,Schulz_2020_CritCare,76
Tizanidine,0.005 -0.045,0.005,0.045,0.09,0.09,0.09,,,2-4,"[3], [47], [780]",,Schulz_2020_CritCare,76
Tobramycin,< 2- (5-10),2,2,12-15,12,15,,,0.5-3,"[3], [67], [198], [878]",,Schulz_2020_CritCare,76
Tocainide,4-12 (6-10),4,12,13-15; 20,13,15,74 ; 78 ; 140,74,8-25,"[3], [8], [47], [58], [720, 721]",,Schulz_2020_CritCare,76
Tofenacin(e),0.025-0.1,0.025,0.1,0.5-1,0.5,1,,,,"[9], [58]",,Schulz_2020_CritCare,76
Tolbutamide,45-100,45,100,(120-) 400-500,400,500,640,640,4-12,"[8], [58], [722]",,Schulz_2020_CritCare,76
Tolcapone,3-6,3,6,12,12,12,,,2,[4],,Schulz_2020_CritCare,76
Tolmetin,10-80,10,80,160,160,160,,,2-4,"[58], [780]",,Schulz_2020_CritCare,76
Tolperisone,0.09-0.3,0.09,0.3,0.7,0.7,0.7,7-14,7,1.8-2.9,[47],,Schulz_2020_CritCare,77
Tolterodine,0.0008-0.002 (-0.005 ),0.0008,0.002,,,,,,2-3,"[47], [780], [804], [1030]",,Schulz_2020_CritCare,77
Toluene,,,,,,,10 (-48 ),10,13-68,"[47], [58]",,Schulz_2020_CritCare,77
Topiramate,2-10,2,10,16,16,16,49,49,18-30,"[4], [8], [381], [712], [1202]",,Schulz_2020_CritCare,77
Topotecan,appr. 0.001-0.01,0.001,0.01,,,,,,2-3,"[3], [723, 724]",,Schulz_2020_CritCare,77
Torasemide (Torsemide),0.064-0.52 (-2),0.064,0.52,,,,,,2-6,"[47], [780], [1206-1208]",,Schulz_2020_CritCare,77
Tramadol,0.1-1 (> 0.3),0.1,1,1,1,1,2 ; 5.2 ; 5.3 ; 9.4 ; 13 ; 38.3,2,5-10,"[11], [63], [244], [725, 726], [902], [1067, 1068], [1123-1125], [1231]",,Schulz_2020_CritCare,77
Trandolapril,0.43-3 ng/mL,0.43,3,,,,58 ng/mL,58,0.6-0.8,[47],NON-MGL:therapeutic:'ng/mL':'0.43-3 ng/mL'; NON-MGL:comatose:'ng/mL':'58 ng/mL',Schulz_2020_CritCare,77
Tranexamic acid,10-50,10,50,,,,,,1-3 (-10),"[8], [47]",,Schulz_2020_CritCare,77
Tranylcypromine,< 0.05,0.05,0.05,0.1 ; 0.5,0.1,0.1,0.7 ; 5,0.7,1-3.5,"[4], [727]",,Schulz_2020_CritCare,77
Trapidil,(4-) 6-10,6,10,,,,,,2-6,"[8], [95], [728]",,Schulz_2020_CritCare,77
Trazodone,0.7-1 (-2),0.7,1,1.2 ; 3-4,1.2,1.2,9; 12-15,9,4-11 (-13),"[4], [43], [58], [64], [263], [729]",,Schulz_2020_CritCare,77
Trenbolone,,,,,,,0.163,0.163,,[943],,Schulz_2020_CritCare,77
Triamterene,0.01-0.1 (-0.2),0.01,0.1,0.2,0.2,0.2,,,1.5-4 (-6),"[8], [42], [780]",,Schulz_2020_CritCare,77
Triazolam,0.002-0.02,0.002,0.02,0.04,0.04,0.04,0.03,0.03,(1-) 2-5,"[4], [58], [423], [730, 731]",,Schulz_2020_CritCare,77
"2,2,2-Tribromoethanol",,,,50,50,50,90,90,,[58],,Schulz_2020_CritCare,78
"1,1,1-Trichloroethane",,,,,,,(15 ); 100-1000,100,20-26,"[47], [58]",,Schulz_2020_CritCare,78
"2,2,2-Trichloroethanol",5-15,5,15,40-70,40,70,60-100,60,6-10,"[47], [58]",,Schulz_2020_CritCare,78
Trichloroethylene,,,,,,,9.7 ; 16 ; 21,9.7,30-38,"[47], [87]",,Schulz_2020_CritCare,78
"2,4,5-Trichlorophenoxyacetic acid (2,4,5-T)",-,,,appr. 100,100,100,200,200,11-23 (-33),"[3], [11], [47]",,Schulz_2020_CritCare,78
Trifluoperazine,0.001-0.01 (-0.05),0.001,0.01,0.1-0.2,0.1,0.2,0.4,0.4,7-18,"[8], [87]",,Schulz_2020_CritCare,78
Triflupromazine,0.03-0.1,0.03,0.1,0.3-0.5,0.3,0.5,,,appr. 6,[8],,Schulz_2020_CritCare,78
Trihexyphenidyl (Trihex),0.05-0.2,0.05,0.2,0.5,0.5,0.5,0.12,0.12,(3-5) 24-41,"[9], [47], [114], [1215]",,Schulz_2020_CritCare,78
Trimethadione,20-40,20,40,,,,,,16,[58],,Schulz_2020_CritCare,78
Trimethobenzamide,1-2,1,2,,,,184,184,7-9,"[11], [47], [58]",,Schulz_2020_CritCare,78
Trimethoprim,1.5-2.5,1.5,2.5,20,20,20,,,8-11,"[8], [672]",,Schulz_2020_CritCare,78
Trimipramine,(0.01-) 0.15-0.3,0.15,0.3,0.6,0.6,0.6,1.7-8.2,1.7,10-20 (-40),"[4], [56], [223], [1084, 1085]",,Schulz_2020_CritCare,78
Tripelenamine,0.02-0.06,0.02,0.06,,,,10,10,5-8,"[8], [11], [57], [87]",,Schulz_2020_CritCare,78
Triprolidine,0.004-0.045,0.004,0.045,,,,,,1-5,"[47], [57]",,Schulz_2020_CritCare,78
Tropisetron,(0.003-) 0.02-0.05 (-0.08),0.02,0.05,,,,,,7-9 (-30),"[8], [47], [66]",,Schulz_2020_CritCare,78
Tubocurarine,(0.04-) 0.4-3 (-6),0.4,3,,,,,,2-4,"[8], [48], [58], [1216]",,Schulz_2020_CritCare,79
Tungsten,-0.035,-0.035,-0.035,,,,5,5,2-4,"[47], [58]",,Schulz_2020_CritCare,79
U-47700,-,,,0.24 ; 0.394,0.24,0.24,0.017-0.49; 0.32 ; 0.37 ; 0.53 ; 0.82 ; 1.1 ; 1.52 ; 3.04,0.017,appr. 6,"[837], [914-920], [1071]",,Schulz_2020_CritCare,79
Uranium,0.04 ng/mL,0.04,0.04,,,,0.77,0.77,450 days,"[47], [100]",NON-MGL:therapeutic:'ng/mL':'0.04 ng/mL',Schulz_2020_CritCare,79
Urapidil,appr. 0.1-0.2,0.1,0.2,,,,,,2-3 (-7),"[3], [58], [95]",,Schulz_2020_CritCare,79
Valnoctamide,5-6 (-25),5,6,40,40,40,,,7-14,"[58], [1217]",,Schulz_2020_CritCare,79
Valproic acid,(40-) 50-100 (-150),50,100,120 ; 150-200,120,120,556 ; 720,556,7-17 (-20),"[4], [47], [64], [161], [164]",,Schulz_2020_CritCare,79
Valsartan,appr. 0.8-6,0.8,6,12,12,12,,,5-12 (-14),"[8], [780], [909]",,Schulz_2020_CritCare,79
Vanadium,-0.05,-0.05,-0.05,0.0058,0.0058,0.0058,6.2,6.2,4-12days,[47],,Schulz_2020_CritCare,79
Vancomycin,10-20,10,20,30 (-40),30,30,,,3.6-11,"[47], [67], [390], [732-736], [823], [878]",,Schulz_2020_CritCare,79
Vardenafil,0.002-0.004 (-0.04),0.002,0.004,,,,,,2-5,"[47], [780]",,Schulz_2020_CritCare,79
Varenicline,0.004-0.005,0.004,0.005,0.01,0.01,0.01,0.26,0.26,23-39,"[4], [1218]",,Schulz_2020_CritCare,79
Vecuronium,appr. 0.2-0.37 (-0.5),0.2,0.37,,,,1.2,1.2,1-1.5,"[8, 9], [47], [1219]",,Schulz_2020_CritCare,79
Vedolizumab,> 14-16,14,16,,,,,,appr. 25-26days,[921],,Schulz_2020_CritCare,79
Venlafaxine,(0.06-) 0.1-0.4,0.1,0.4,0.8 ; 1-1.5,0.8,0.8,3.2-24,3.2,3-7 (-14),"[4], [11], [101], [223], [737], [807], [1084, 1085]",,Schulz_2020_CritCare,80
Verapamil,(0.01-) 0.02-0.25 (-0.4),0.02,0.25,1,1,1,2.5; 0.9 ; 3.9 ; 85,2.5,6-14,"[8], [42], [56], [64], [84], [721], [738, 739], [870], [922]",,Schulz_2020_CritCare,80
Vigabatrin,2-10 (-15),2,10,20,20,20,,,5-8,"[4], [47], [381]",,Schulz_2020_CritCare,80
Vilazodone,0.03-0.07,0.03,0.07,0.14,0.14,0.14,,,18-32,[4],,Schulz_2020_CritCare,80
Vildagliptin,0.18-0.3 (-1.6),0.18,0.3,,,,,,2-3,"[911], [923, 924]",,Schulz_2020_CritCare,80
Viloxazine,1-4 (-8?),1,4,47 ; 60,47,47,40 ; 45,40,2-5,"[8], [43], [47]",,Schulz_2020_CritCare,80
Vincamine,< 0.25,0.25,0.25,,,,,,1-2,"[8], [47]",,Schulz_2020_CritCare,80
Vinylbital,1-3,1,3,5,5,5,8,8,18-33,[8],,Schulz_2020_CritCare,80
Viquidil,0.15-0.25,0.15,0.25,,,,,,6-12,[11],,Schulz_2020_CritCare,80
Vitamin B,(200-) 300-500 (-750) pg/mL,300,500,,,,,,21-29,"[800], [944]",,Schulz_2020_CritCare,80
Vitamin D,(0.02-) 0.03-0.09,0.03,0.09,0.2; 0.46,0.2,0.2,,,appr. 30days,"[740-743], [800], [925]",,Schulz_2020_CritCare,80
Voriconazole,1-6,1,6,3.5 (-6.0),3.5,3.5,,,4-10,"[47], [603], [744, 745], [895], [1186]",,Schulz_2020_CritCare,81
Vortioxetine,0.006-0.04 (-0.07),0.006,0.04,0.08,0.08,0.08,,,57-66,"[4], [780], [1194]",,Schulz_2020_CritCare,81
Warfarin,1-3 (-7),1,3,10-12,10,12,100,100,37-50,"[3], [14], [42], [746]",,Schulz_2020_CritCare,81
Xamoterol,appr. 0.02-0.05 (-0.2),0.02,0.05,,,,,,13-30,"[58], [1210-1213], [1220]",,Schulz_2020_CritCare,81
Xipamide,3-11 (-20),3,11,,,,,,5-8,"[47], [1209]",,Schulz_2020_CritCare,81
Xylene,< 0.002,0.002,0.002,,,,3-40,3,20-30,"[47], [58]",,Schulz_2020_CritCare,81
Yohimbine,appr. 0.05-0.3,0.05,0.3,,,,5.2 ; 5.4 ; 7.4 ; 8,5.2,1-3,"[8], [47], [1065], [1221]",,Schulz_2020_CritCare,81
Zafirlukast,0.005-0.03 (0.7),0.005,0.03,,,,,,5-20,"[8], [47]",,Schulz_2020_CritCare,81
Zalcitabine,appr. 0.1 (0.5 µmol/L),0.1,0.1,,,,,,1-3,"[38], [290]",NEEDS-MOLAR-CONVERSION:therapeutic:'appr. 0.1 (0.5 µmol/L)',Schulz_2020_CritCare,81
Zaleplon(e),(0.001-) 0.02-0.04 (-0.1),0.02,0.04,0.2,0.2,0.2,,,1-2,"[4], [8], [935]",,Schulz_2020_CritCare,81
Zanoterone,0.1-0.5,0.1,0.5,,,,,,,[747],,Schulz_2020_CritCare,81
Zidovudine,0.1-0.3 (-1),0.1,0.3,2-3; 24,2,3,,,0.5-3,"[2], [38], [47], [290], [748-750]",,Schulz_2020_CritCare,81
Zinc,0.6-1.3,0.6,1.3,2,2,2,42,42,5-16 months,"[47], [66], [1222]",,Schulz_2020_CritCare,81
Zipeprol,0.1-0.7,0.1,0.7,,,,2.3-31,2.3,1.2,"[47], [57]",,Schulz_2020_CritCare,81
Ziprasidone,(0.02-) 0.05-0.2,0.05,0.2,0.4,0.4,0.4,,,2-8,"[4], [8]",,Schulz_2020_CritCare,81
Zoledronat (Zoledronic acid),0.22-2.2,0.22,2.2,,,,,,1-189days,"[47], [49], [751-753]",,Schulz_2020_CritCare,82
Zolmitriptan,0.003-0.01,0.003,0.01,,,,,,1.6-3.8,"[8], [47]",,Schulz_2020_CritCare,82
Zolpidem,0.08-0.16 (-0.2),0.08,0.16,0.32 ; 0.5,0.32,0.32,1.5-4,1.5,1-5,"[4], [8], [11], [310], [754-756], [935], [1231]",,Schulz_2020_CritCare,82
Zomepirac,0.1-4,0.1,4,,,,152,152,4-10,"[8], [87]",,Schulz_2020_CritCare,82
Zonisamide,(10-) 20-30 (-40),20,30,40-70,40,70,100,100,50-70,"[8], [47], [381], [712], [757, 758]",,Schulz_2020_CritCare,82
Zopiclone,(0.01-) 0.055-0.085 (-0.12),0.055,0.085,0.15; 0.3,0.15,0.15,0.6-1.8,0.6,2-8,"[4], [11], [15], [56], [935]",,Schulz_2020_CritCare,82
Zotepine,0.01-0.15,0.01,0.15,0.3,0.3,0.3,,,13-16,[4],,Schulz_2020_CritCare,82
Zuclopenthixol,0.004-0.05 (-0.1),0.004,0.05,0.1,0.1,0.1,,,15-25,"[4], [15], [1223]",,Schulz_2020_CritCare,82
(unusual) high doses.,,,,,,,,,,,,Schulz_2020_CritCare,84
