variant,mean_R2_6drugs,mean_RMSE_6drugs
A1_PBPK_only,0.8530156226109291,0.3969678563853407
A2_GNN_only,0.8154576327754071,0.4145368022590315
A5_Full_DLPBPK,0.8512849483766435,0.39776136247609345
A3_hybrid_no_transfer,0.7966992198533722,0.5144674414538409
A4_hybrid_encoder_frozen,0.8231928596903334,0.4876347564374252
